Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN23152,1,0,0,2,Meal_Plan_1,0,Room_Type_1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN21915,1,0,0,2,Meal_Plan_1,0,Room_Type_1,103,2018,4,19,Offline,0,0,0,115,0,Canceled
INN24290,2,0,1,4,Not_Selected,0,Room_Type_1,33,2018,4,18,Online,0,0,0,90.54,0,Canceled
INN31921,2,0,0,3,Meal_Plan_1,0,Room_Type_1,64,2018,11,22,Online,0,0,0,93.6,1,Canceled
INN34718,2,,1,1,Meal_Plan_2,0,Room_Type_1,247,2018,6,6,Offline,0,0,0,115,1,Canceled
INN31303,2,0,,3,Meal_Plan_1,0,Room_Type_1,304,2018,11,3,Offline,0,0,0,89,0,Canceled
INN34963,1,0,3,5,Not_Selected,0,Room_Type_1,275,2018,10,9,Online,0,0,0,91.69,0,Canceled
INN14729,2,0,2,0,Meal_Plan_1,0,Room_Type_1,146,2018,4,24,Offline,0,0,0,95,0,Canceled
INN06771,,2,2,3,Meal_Plan_1,0,Room_Type_2,41,2018,9,4,Online,0,0,0,208.93,0,Canceled
INN34053,2,0,2,1,Meal_Plan_1,0,Room_Type_4,41,2018,9,18,Online,0,0,0,149.4,1,Canceled
INN12335,2,0,1,0,Not_Selected,0,Room_Type_1,10,2018,3,13,Online,0,0,0,97,0,Canceled
INN32422,3,0,2,1,Meal_Plan_1,0,,128,2018,10,29,Online,0,0,0,123.3,1,Canceled
INN07271,1,0,,1,Meal_Plan_1,0,Room_Type_1,177,2018,7,30,Online,0,0,0,99.9,0,Canceled
INN06950,2,0,2,2,Meal_Plan_1,0,Room_Type_1,180,2018,11,27,Online,0,0,0,85,0,Canceled
INN06595,2,0,0,2,Meal_Plan_2,0,Room_Type_1,346,2018,9,13,Online,0,0,0,115,1,Canceled
INN05722,1,0,0,3,Meal_Plan_1,0,Room_Type_1,166,2018,11,1,Online,0,0,0,110,0,Canceled
INN27728,,0,0,1,Meal_Plan_1,0,Room_Type_1,220,2018,9,29,Offline,0,0,0,105.4,2,Canceled
